zone_id,base_context_id,source_dataset,sample_count,context_sample_count,context_cluster_count,sample_count_risk_flag,soil_color_mode,soil_color_dominant_ratio,ph_mean,nitrogen_mean,phosphorus_mean,potassium_mean,zinc_mean,sulfur_mean,soil_moisture_surface_mean,wind_speed_10m_mean,specific_humidity_mean_mean,temperature_mean_mean,temperature_seasonal_range_mean,rainfall_mean_mean,rainfall_total_proxy_mean,cloud_amount_mean,surface_pressure_mean,zone_target
zone_10_01,10,mendeley_8v757rr4st_crop_recommendation_soil_weather,32,292,12,ok,red,0.5483870967741935,5.267096774193549,0.2310806451612903,2.4761290322580645,318.83870967741933,1.8651612903225807,7.438387096774194,0.7,3.44,10.4725,19.236250000375,22.423333337000003,6.0766666665,24.306666666,48.62,79.61,Jagung
zone_10_02,10,mendeley_8v757rr4st_crop_recommendation_soil_weather,52,292,12,ok,brown,0.4893617021276595,5.964893617021277,0.1162805880425531,2.79531914893617,277.06382978723406,1.1440425531914895,6.0212765957446805,0.7,3.44,10.4725,19.236250000375,22.423333337000003,6.0766666665,24.306666666,48.62,79.61,Teff
zone_10_03,10,mendeley_8v757rr4st_crop_recommendation_soil_weather,8,292,12,ok,red,0.5714285714285714,5.638571428571429,0.2128571428571428,23.085714285714285,478.7142857142857,3.3528571428571428,9.302857142857144,0.7,3.44,10.4725,19.236250000375,22.423333337000003,6.076666666499999,24.306666665999995,48.62,79.61,Jagung
zone_10_10,10,mendeley_8v757rr4st_crop_recommendation_soil_weather,21,292,12,ok,red,0.631578947368421,5.474210526315789,0.1457368421052631,3.655263157894737,363.89473684210526,2.02,10.852631578947369,0.7,3.44,10.4725,19.236250000375,22.423333337000003,6.0766666665,24.306666666,48.62,79.61,Teff
zone_11_00,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,14,353,14,ok,red,0.8333333333333334,5.911666666666666,0.2219416666666666,6.293333333333333,479.25,1.9425,9.72,0.6999999999999998,0.06,11.013333334,19.975833332875,24.566666667000003,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_01,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,45,353,14,ok,red,0.9117647058823528,4.976470588235294,0.2162294117647059,3.077058823529412,213.2941176470588,1.07,16.53235294117647,0.7,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_05,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,13,353,14,ok,brown,0.2727272727272727,6.2318181818181815,0.1029090909090909,2.2572727272727278,245.1818181818182,0.9763636363636364,7.207272727272727,0.7,0.0599999999999999,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Teff
zone_11_06,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,61,353,14,ok,red,0.7735849056603774,5.244150943396226,0.1992849056603773,2.740943396226416,297.811320754717,1.208490566037736,12.210943396226414,0.6999999999999998,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.61999999999999,81.38,Jagung
zone_11_07,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,55,353,14,ok,red,0.8372093023255814,5.006976744186047,0.1671348837209302,3.0,200.1627906976744,1.1744186046511629,16.511627906976745,0.7,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_08,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,21,353,14,ok,red,0.875,5.0375,0.1494625,3.0,240.5,1.0,20.5,0.7,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_09,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,8,353,14,ok,red,0.7142857142857143,5.028571428571428,0.2073285714285714,4.428571428571429,383.8571428571428,3.8,10.857142857142858,0.7,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_11,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,10,353,14,ok,red,0.9,5.35,0.2360999999999999,6.7,870.3,2.49,12.0,0.7,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_12,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,9,353,14,ok,red,0.7777777777777778,5.866666666666666,0.2399444444444444,9.333333333333334,796.7777777777778,3.644444444444444,11.0,0.7,0.06,11.013333334,19.975833332875,24.566666667,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_11_13,11,mendeley_8v757rr4st_crop_recommendation_soil_weather,25,353,14,ok,red,0.6666666666666666,5.203333333333333,0.1909374999999999,5.229166666666667,344.7083333333333,2.4079166666666665,12.4125,0.6999999999999998,0.06,11.013333334,19.975833332875,24.566666667000003,6.71833333325,26.873333333,48.62,81.38,Jagung
zone_12_00,12,mendeley_8v757rr4st_crop_recommendation_soil_weather,62,682,27,ok,brown,0.5,5.910576923076923,0.0940190140192307,4.500961538461539,198.7684615384615,1.189230769230769,5.019615384615384,0.77,36.06,10.23500000175,16.8074999995,22.816666667,7.64500000075,30.580000003,59.11,77.29,Teff
zone_12_06,12,mendeley_8v757rr4st_crop_recommendation_soil_weather,18,682,27,ok,red,0.5,5.807142857142857,0.2457091015714285,4.473571428571428,127.465,1.1521428571428571,15.397857142857143,0.7700000000000001,36.06,10.23500000175,16.8074999995,22.816666667,7.64500000075,30.580000003,59.11,77.29,Gandum
zone_12_14,12,mendeley_8v757rr4st_crop_recommendation_soil_weather,55,682,27,ok,brown,0.5652173913043478,6.339565217391304,0.1313913425217391,3.883695652173913,171.8695652173913,1.0630434782608695,4.958695652173913,0.77,36.06,10.23500000175,16.8074999995,22.816666667,7.645000000750001,30.58000000300001,59.11,77.29,Teff
zone_12_20,12,mendeley_8v757rr4st_crop_recommendation_soil_weather,25,682,27,ok,brown,0.5,7.1395,0.0925248382499999,3.697,229.2755,1.1800000000000002,3.5335,0.77,36.06,10.23500000175,16.8074999995,22.816666667,7.64500000075,30.580000003,59.11,77.29,Teff
zone_12_22,12,mendeley_8v757rr4st_crop_recommendation_soil_weather,10,682,27,ok,brown,0.7,5.45,0.2346180206,7.858,146.38600000000002,1.247,22.999,0.77,36.06,10.23500000175,16.8074999995,22.816666667,7.64500000075,30.580000003,59.11,77.29,Jelai
zone_14_04,14,mendeley_8v757rr4st_crop_recommendation_soil_weather,9,617,25,ok,black,0.5,7.31625,0.112614167625,6.26125,320.875,1.25375,6.0425,0.73,68.94,10.435833335,16.979166667125,23.95333333,7.538333334,30.153333336,59.11,78.25,Teff
zone_14_15,14,mendeley_8v757rr4st_crop_recommendation_soil_weather,9,617,25,ok,black,0.6666666666666666,5.657777777777778,0.1739629807777777,27.875555555555557,270.74666666666667,3.4066666666666667,14.444444444444445,0.73,68.94,10.435833335,16.979166667125,23.95333333,7.538333333999999,30.153333336,59.11,78.25,Gandum
zone_16_01,16,mendeley_8v757rr4st_crop_recommendation_soil_weather,45,231,9,ok,red,0.8461538461538461,5.650769230769231,0.1956377953333333,4.458974358974359,494.71794871794873,2.1315384615384616,12.484615384615385,0.73,343.44,11.71416666575,19.813333332875,23.796666667,8.63166666575,34.526666663,59.11,82.6,Jagung
zone_16_08,16,mendeley_8v757rr4st_crop_recommendation_soil_weather,20,231,9,ok,red,0.8421052631578947,6.086842105263158,0.235409257368421,9.738947368421051,736.8421052631579,3.727368421052631,11.021052631578948,0.73,343.44,11.71416666575,19.813333332875,23.796666667,8.63166666575,34.526666663,59.10999999999999,82.6,Jagung
