latitude,longitude,pdsi80_85,pdsi85_90,pdsi90_95,pdsi95_00,pdsi00_05,pdsi05_10,pdsi10_15,pdsi15_19
-1.679625002,103.6455963,0.39,0.95,-0.14,0.57,1.79,1.12,1.22,0.81
-1.679625002,103.7356075,0.39,0.95,-0.12,0.55,1.71,1.04,1.18,0.68
-1.679625002,103.8253492,0.48,0.94,-0.12,0.55,1.57,1.00,1.14,0.59
-1.679625002,103.9150909,0.48,0.92,-0.06,0.46,1.56,0.94,1.09,0.48
-1.679625002,104.005102,0.39,0.89,-0.09,0.45,1.51,0.84,1.01,0.29
-1.679625002,104.0948437,0.38,0.87,-0.08,0.46,1.48,0.71,0.92,0.20
-1.679625002,104.1845854,0.37,0.84,-0.08,0.46,1.35,0.69,0.87,0.10
-1.679625002,104.2745966,0.34,0.80,-0.05,0.46,1.33,0.65,0.82,0.00
-1.679625002,104.3643383,0.33,0.78,-0.05,0.45,1.24,0.59,0.69,-0.09
-1.679625002,104.45408,0.32,0.69,-0.14,0.43,1.14,0.49,0.67,-0.20
-1.679625002,105.352575,0.18,0.52,-0.60,-0.08,-0.02,-0.74,-0.24,-1.20
-1.679625002,105.4423167,0.20,0.43,-0.74,-0.09,-0.11,-0.85,-0.27,-1.24
-1.679625002,105.5320584,0.27,0.44,-0.78,-0.12,-0.20,-0.92,-0.37,-1.31
-1.679625002,105.6220696,0.29,0.45,-1.02,-0.23,-0.29,-0.98,-0.46,-1.45
-1.679625002,105.801553,0.21,0.43,-1.14,-0.32,-0.43,-1.07,-0.61,-1.69
-1.679625002,105.8915641,0.20,0.29,-1.17,-0.33,-0.46,-1.10,-0.64,-1.88
-1.679625002,105.9813058,0.24,0.25,-1.21,-0.40,-0.53,-1.11,-0.67,-1.92
-1.679625002,110.0237246,-0.74,-2.05,-0.53,-0.99,0.18,0.55,0.59,2.03
-1.679625002,110.1134663,-0.73,-2.03,-0.51,-1.00,0.22,0.58,0.64,2.17
-1.679625002,110.2034775,-0.72,-2.01,-0.48,-0.98,0.23,0.60,0.68,2.37
-1.679625002,110.2932192,-0.70,-1.97,-0.46,-0.96,0.26,0.61,0.71,2.55
-1.679625002,110.3829609,-0.64,-1.92,-0.45,-0.93,0.42,0.59,0.71,2.71
-1.679625002,110.4729721,-0.63,-1.88,-0.41,-0.90,0.39,0.49,0.71,2.80
-1.679625002,110.5627138,-0.63,-1.84,-0.41,-0.91,0.43,0.50,0.71,2.88
-1.679625002,110.6524555,-0.56,-1.69,-0.39,-0.95,0.49,0.51,0.71,2.96
-1.679625002,110.7424667,-0.54,-1.58,-0.31,-0.94,0.50,0.50,0.80,3.13
-1.679625002,110.8322084,-0.59,-1.55,-0.22,-0.88,0.53,0.52,0.76,3.16
-1.679625002,110.9219501,-0.57,-1.47,-0.12,-0.70,0.64,0.52,0.80,3.29
-1.679625002,111.0119613,-0.56,-1.41,-0.08,-0.41,0.79,0.54,0.80,3.35
-1.679625002,111.101703,-0.52,-1.34,-0.02,-0.28,0.85,0.56,0.81,3.45
-1.679625002,111.1914447,-0.47,-1.17,0.05,-0.16,0.99,0.58,0.80,3.53
-1.679625002,111.2814559,-0.46,-1.13,0.07,-0.05,1.04,0.60,0.80,3.62
-1.679625002,111.3711975,-0.48,-1.10,0.14,0.07,1.07,0.61,0.82,3.75
-1.679625002,111.4609392,-0.49,-1.06,0.14,0.22,1.16,0.62,0.81,3.87
-1.679625002,111.5509504,-0.48,-1.03,0.14,0.27,1.23,0.63,0.80,3.94
-1.679625002,111.6406921,-0.46,-0.99,0.14,0.31,1.26,0.64,0.80,4.07
-1.679625002,111.7304338,-0.44,-0.93,0.14,0.36,1.28,0.63,0.79,4.14
-1.679625002,111.820445,-0.42,-0.90,0.15,0.41,1.34,0.65,0.81,4.26
-1.679625002,111.9101867,-0.43,-0.87,0.14,0.46,1.52,0.67,0.76,4.32
-1.679625002,111.9999284,-0.38,-0.84,0.00,0.51,1.28,0.69,0.75,4.38
-1.679625002,112.0899396,-0.39,-0.77,0.02,0.58,1.28,0.65,0.74,4.46
-1.679625002,112.1796813,-0.35,-0.72,-0.04,0.63,1.30,0.67,0.73,4.52
-1.679625002,112.269423,-0.33,-0.63,-0.04,0.67,1.32,0.69,0.70,4.58
-1.679625002,112.3594342,-0.23,-0.61,-0.05,0.71,1.34,0.75,0.69,4.65
-1.679625002,112.4491759,-0.19,-0.58,-0.06,0.76,1.35,0.83,0.69,4.72
-1.679625002,112.5389176,-0.17,-0.37,0.02,0.80,1.36,0.83,0.68,4.77
-1.679625002,112.6289288,-0.12,-0.32,0.00,0.97,1.25,0.81,0.68,4.75
-1.679625002,112.7186705,-0.18,-0.28,-0.01,1.02,1.27,0.80,0.67,4.73
-1.679625002,112.8084122,-0.17,-0.24,-0.05,1.03,1.28,0.70,0.56,4.71
-1.679625002,112.8984234,-0.18,-0.20,-0.10,1.03,1.27,0.60,0.58,4.60
-1.679625002,112.9881651,-0.19,-0.15,-0.14,1.02,1.26,0.59,0.72,4.58
-1.679625002,113.0779068,-0.19,-0.08,-0.19,0.99,1.29,0.57,0.62,4.48
-1.679625002,113.1679179,-0.17,0.11,-0.21,1.07,1.12,0.47,0.65,4.39
-1.679625002,113.2576596,-0.20,0.30,-0.23,1.02,1.07,0.44,0.66,4.28
-1.679625002,113.3474013,-0.20,0.37,-0.26,0.99,1.00,0.41,0.65,4.22
-1.679625002,113.4374125,-0.16,0.44,-0.30,0.98,0.91,0.39,0.65,4.14
-1.679625002,113.5271542,-0.14,0.47,-0.32,0.96,0.88,0.36,0.64,4.08
-1.679625002,113.6168959,-0.13,0.55,-0.35,0.95,0.71,0.27,0.60,4.00
-1.679625002,113.7069071,-0.11,0.61,-0.38,0.93,0.67,0.26,0.59,3.92
-1.679625002,113.7966488,-0.24,0.69,-0.69,0.66,0.61,0.27,0.67,3.84
-1.679625002,113.8863905,-0.28,0.77,-0.73,0.56,0.58,0.19,0.66,3.81
-1.679625002,113.9764017,-0.29,0.84,-0.75,0.51,0.54,0.15,0.59,3.78
-1.679625002,114.0661434,-0.30,1.01,-0.83,0.36,0.44,0.11,0.58,3.72
-1.679625002,114.1558851,-0.30,1.12,-0.86,0.31,0.39,0.07,0.57,3.66
-1.679625002,114.2458963,-0.30,1.19,-0.92,0.24,0.33,0.02,0.55,3.58
-1.679625002,114.335638,-0.30,1.20,-0.99,0.17,0.29,-0.01,0.52,3.52
-1.679625002,114.4253797,-0.31,1.19,-1.11,0.13,0.27,-0.03,0.51,3.49
-1.679625002,114.5153909,-0.31,1.18,-1.24,0.09,0.25,-0.03,0.50,3.33
-1.679625002,114.6051326,-0.31,1.16,-1.29,0.05,0.22,-0.05,0.48,3.29
-1.679625002,114.6948743,-0.32,1.14,-1.36,0.02,0.27,-0.05,0.48,3.24
-1.679625002,114.7848855,-0.33,1.13,-1.49,-0.12,0.25,-0.05,0.48,3.21
-1.679625002,114.8746272,-0.33,1.10,-1.53,-0.21,0.14,-0.04,0.48,3.09
-1.679625002,114.9643689,-0.29,1.10,-1.73,-0.26,0.12,-0.05,0.53,3.03
-1.679625002,115.05438,-0.30,1.07,-1.76,-0.30,0.13,-0.05,0.53,3.21
-1.679625002,115.1441217,-0.34,0.89,-1.80,-0.48,0.14,-0.05,0.55,3.24
-1.679625002,115.2338634,-0.34,0.87,-1.81,-0.51,0.05,-0.05,0.53,3.28
-1.679625002,115.3238746,-0.26,0.83,-1.88,-0.66,-0.04,-0.06,0.58,3.30
-1.679625002,115.4136163,-0.29,0.77,-1.97,-0.72,-0.04,-0.09,0.58,3.28
-1.679625002,115.503358,-0.27,0.77,-2.06,-0.84,-0.12,-0.06,0.58,3.25
-1.679625002,115.5933692,-0.27,0.75,-2.15,-0.89,-0.18,-0.05,0.62,3.28
-1.679625002,115.6831109,-0.27,0.71,-2.18,-0.95,-0.21,-0.05,0.61,3.30
-1.679625002,115.7728526,-0.25,0.57,-2.29,-0.99,-0.19,-0.06,0.61,3.31
-1.679625002,115.8628638,-0.24,0.56,-2.31,-1.00,-0.15,-0.06,0.59,3.31
-1.679625002,115.9526055,-0.24,0.54,-2.35,-1.00,-0.09,-0.04,0.59,3.31
-1.679625002,116.0423472,-0.26,0.46,-2.39,-1.01,-0.03,-0.04,0.59,3.31
-1.679625002,116.1323584,-0.25,0.45,-2.43,-1.19,0.12,-0.02,0.60,3.24
-1.679625002,116.2221001,-0.24,0.43,-2.45,-1.20,0.16,0.00,0.60,3.25
-1.679625002,116.3118418,-0.20,0.35,-2.56,-1.27,0.18,0.00,0.59,3.33
-1.589883306,98.88470493,0.24,0.52,-0.82,1.14,1.65,1.74,0.53,4.54
-1.589883306,98.97444663,0.22,0.53,-0.83,1.07,1.64,1.73,0.52,4.48
-1.589883306,99.06418832,0.22,0.54,-0.84,1.01,1.63,1.70,0.50,4.40
-1.589883306,99.15419951,0.22,0.55,-0.85,0.99,1.62,1.71,0.51,4.37
-1.589883306,99.24394121,0.22,0.55,-0.87,0.95,1.59,1.72,0.51,4.44
-1.589883306,100.6811558,0.08,0.77,-0.71,1.09,1.90,2.12,0.64,3.08
-1.589883306,100.771167,0.17,0.72,-0.83,1.00,1.98,2.18,0.75,3.01
-1.589883306,100.8609087,0.13,0.67,-0.84,1.05,2.27,2.30,0.89,3.00
-1.589883306,100.9506504,0.05,0.63,-0.79,1.13,2.39,2.57,1.03,2.97
-1.589883306,101.0406616,0.06,0.65,-0.86,1.12,2.36,2.50,1.18,2.95
-1.589883306,101.1304033,0.08,0.71,-0.79,1.21,2.57,2.63,1.20,2.71
-1.589883306,101.220145,0.07,0.73,-0.77,1.24,2.65,2.66,1.24,2.58
-1.589883306,101.3101562,0.08,0.76,-0.75,1.22,2.53,2.53,1.37,2.45
-1.589883306,101.3998979,0.06,0.78,-0.74,1.18,2.61,2.51,1.40,2.37
-1.589883306,101.4896396,0.09,0.85,-0.71,1.16,2.64,2.48,1.40,2.28
-1.589883306,101.5796508,0.16,0.87,-0.66,1.04,2.62,2.45,1.41,2.28
-1.589883306,101.6693925,0.19,0.87,-0.45,1.28,2.53,2.38,1.50,2.22
-1.589883306,101.7591342,0.20,0.88,-0.34,1.26,2.52,2.35,1.53,2.23
-1.589883306,101.8491454,0.27,0.87,-0.31,1.24,2.48,2.32,1.53,2.25
-1.589883306,101.9388871,0.33,0.83,-0.29,1.22,2.46,2.28,1.57,2.31
-1.589883306,102.0286288,0.35,0.97,-0.26,1.20,2.45,2.16,1.57,2.35
-1.589883306,102.11864,0.34,0.84,-0.26,1.17,2.42,2.12,1.63,2.41
-1.589883306,102.2083816,0.42,0.85,-0.18,1.12,2.39,2.07,1.66,2.49
-1.589883306,102.2981233,0.42,0.82,-0.08,1.10,2.38,1.94,1.68,2.53
-1.589883306,102.3881345,0.43,0.84,-0.18,1.07,2.34,1.92,1.70,2.57
-1.589883306,102.4778762,0.43,0.85,-0.16,1.05,2.32,1.91,1.72,2.57
-1.589883306,102.5676179,0.43,0.87,-0.24,0.84,2.30,1.89,1.73,2.51
-1.589883306,102.6576291,0.37,0.88,-0.25,0.85,2.29,1.87,1.74,2.46
-1.589883306,102.7473708,0.36,0.90,-0.24,0.82,2.26,1.82,1.75,2.37
-1.589883306,102.8371125,0.39,0.99,-0.14,0.77,2.13,1.68,1.75,2.22
-1.589883306,102.9271237,0.39,1.03,-0.15,0.74,2.10,1.64,1.72,2.11
-1.589883306,103.0168654,0.31,1.00,-0.15,0.70,2.06,1.52,1.65,1.86
-1.589883306,103.1066071,0.32,1.03,-0.15,0.66,2.00,1.50,1.63,1.78
-1.589883306,103.1966183,0.33,1.06,-0.15,0.63,1.97,1.47,1.60,1.65
-1.589883306,103.28636,0.34,0.99,-0.15,0.50,1.94,1.44,1.57,1.55
-1.589883306,103.3761017,0.35,1.00,-0.15,0.56,1.89,1.35,1.44,1.34
-1.589883306,103.4661129,0.36,1.00,-0.14,0.54,1.86,1.31,1.38,1.17
-1.589883306,103.5558546,0.42,1.01,-0.12,0.53,1.83,1.27,1.28,1.01
-1.589883306,103.6455963,0.38,0.96,-0.12,0.57,1.79,1.23,1.25,0.94
-1.589883306,103.7356075,0.38,0.98,-0.11,0.56,1.76,1.16,1.20,0.73
-1.589883306,103.8253492,0.38,0.96,-0.05,0.45,1.71,1.04,1.17,0.64
-1.589883306,103.9150909,0.37,0.95,-0.05,0.46,1.57,1.00,1.13,0.50
-1.589883306,104.005102,0.29,0.92,-0.07,0.45,1.52,0.87,1.03,0.31
-1.589883306,104.0948437,0.35,0.89,-0.07,0.45,1.50,0.74,0.95,0.22
-1.589883306,104.1845854,0.35,0.87,-0.04,0.45,1.41,0.72,0.90,0.10
-1.589883306,104.2745966,0.34,0.83,-0.03,0.45,1.32,0.67,0.86,0.01
-1.589883306,104.3643383,0.31,0.74,-0.11,0.44,1.25,0.62,0.79,-0.09
-1.589883306,104.45408,0.30,0.71,-0.13,0.42,1.21,0.56,0.71,-0.19
-1.589883306,105.4423167,0.25,0.44,-0.66,-0.09,-0.08,-0.78,-0.28,-1.28
-1.589883306,105.5320584,0.27,0.45,-0.76,-0.12,-0.16,-0.85,-0.38,-1.35
-1.589883306,105.801553,0.21,0.42,-1.12,-0.30,-0.42,-1.06,-0.60,-1.91
-1.589883306,105.8915641,0.20,0.29,-1.16,-0.31,-0.45,-1.08,-0.63,-1.91
-1.589883306,105.9813058,0.20,0.27,-1.20,-0.33,-0.47,-1.10,-0.66,-1.95
-1.589883306,108.8560046,-0.55,-1.52,-0.69,-0.88,-0.07,0.27,0.40,1.21
-1.589883306,108.9457463,-0.53,-1.57,-0.64,-0.88,-0.07,0.26,0.43,1.28
-1.589883306,110.1134663,-0.71,-2.01,-0.49,-0.97,0.20,0.58,0.65,2.14
-1.589883306,110.2034775,-0.71,-1.99,-0.47,-1.01,0.18,0.59,0.69,2.29
-1.589883306,110.2932192,-0.64,-1.95,-0.48,-1.02,0.25,0.62,0.72,2.48
-1.589883306,110.3829609,-0.63,-1.91,-0.45,-0.98,0.37,0.59,0.72,2.58
-1.589883306,110.4729721,-0.62,-1.87,-0.42,-0.88,0.49,0.61,0.72,2.73
-1.589883306,110.5627138,-0.56,-1.72,-0.40,-0.88,0.51,0.62,0.81,2.92
-1.589883306,110.6524555,-0.56,-1.68,-0.39,-0.88,0.53,0.65,0.81,3.00
-1.589883306,110.7424667,-0.53,-1.58,-0.37,-0.88,0.49,0.54,0.82,3.08
-1.589883306,110.8322084,-0.50,-1.54,-0.21,-0.88,0.52,0.55,0.77,3.10
-1.589883306,110.9219501,-0.51,-1.47,-0.12,-0.69,0.64,0.56,0.86,3.29
-1.589883306,111.0119613,-0.55,-1.40,-0.07,-0.42,0.68,0.57,0.86,3.37
-1.589883306,111.101703,-0.51,-1.34,0.00,-0.38,0.65,0.60,0.85,3.45
-1.589883306,111.1914447,-0.48,-1.15,0.06,-0.25,0.87,0.62,0.85,3.53
-1.589883306,111.2814559,-0.45,-1.12,0.13,-0.01,1.03,0.64,0.84,3.62
-1.589883306,111.3711975,-0.44,-1.10,0.14,0.03,1.05,0.65,0.84,3.70
-1.589883306,111.4609392,-0.48,-1.07,0.13,0.20,1.14,0.66,0.83,3.94
-1.589883306,111.5509504,-0.47,-1.01,0.13,0.24,1.17,0.66,0.82,4.02
-1.589883306,111.6406921,-0.43,-0.95,0.14,0.29,1.20,0.68,0.85,4.15
-1.589883306,111.7304338,-0.42,-0.92,0.13,0.34,1.23,0.68,0.84,4.22
-1.589883306,111.820445,-0.41,-0.91,0.14,0.39,1.25,0.68,0.84,4.26
-1.589883306,111.9101867,-0.40,-0.86,0.15,0.44,1.30,0.70,0.78,4.32
-1.589883306,111.9999284,-0.38,-0.83,0.14,0.49,1.27,0.72,0.77,4.38
-1.589883306,112.0899396,-0.37,-0.76,0.02,0.57,1.29,0.71,0.77,4.47
-1.589883306,112.1796813,-0.36,-0.70,0.02,0.61,1.32,0.73,0.73,4.53
-1.589883306,112.269423,-0.33,-0.62,-0.04,0.65,1.34,0.76,0.72,4.59
-1.589883306,112.3594342,-0.28,-0.60,-0.03,0.70,1.35,0.81,0.70,4.67
-1.589883306,112.4491759,-0.18,-0.41,0.04,0.74,1.36,0.85,0.69,4.74
-1.589883306,112.5389176,-0.16,-0.36,0.04,0.79,1.38,1.03,0.68,4.80
-1.589883306,112.6289288,-0.12,-0.31,0.02,0.86,1.38,0.96,0.67,4.77
-1.589883306,112.7186705,-0.09,-0.28,0.01,1.00,1.39,0.95,0.67,4.75
